"artist","song","first_app","first_year","last_app","last_year","weeks","highest_spot","lowest_spot","length_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","spotify_track_popularity"
"Kenny Chesney","All The Pretty Girls",2017-08-19,2017,2017-11-18,2017,14,63,98,212893,0.612,0.848,6,-3.736,1,0.0368,0.00916,0,0.366,0.719,120.996,4,68
"Kendrick Lamar & SZA","All The Stars",2018-01-20,2018,2018-06-09,2018,21,7,54,232186,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,4,80
"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared","All The Way Up",2016-04-16,2016,2016-08-27,2016,20,27,91,284830,0.536,0.721,10,-6.44,0,0.386,0.062,0,0.824,0.393,117.139,5,70
"Jon Bellion","All Time Low",2016-10-29,2016,2017-03-25,2017,22,16,82,217603,0.584,0.569,0,-4.259,1,0.166,0.0508,0,0.0924,0.501,89.779,4,74
"Dan + Shay","All To Myself",2019-05-18,2019,2019-09-28,2019,20,31,96,169920,0.646,0.781,1,-4.616,1,0.0313,0.208,0,0.125,0.565,94.975,4,73
"Dan + Shay","All To Myself",2019-05-18,2019,2019-09-28,2019,20,31,96,169920,0.646,0.781,1,-4.616,1,0.0313,0.208,0,0.125,0.565,94.975,4,74
"The Chainsmokers Featuring Phoebe Ryan","All We Know",2016-10-22,2016,2017-02-04,2017,16,18,95,194080,0.662,0.586,0,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90,4,72
"Big Sean Featuring Kanye West","All Your Fault",2015-03-14,2015,2015-03-14,2015,1,80,80,224386,0.609,0.738,5,-4.444,0,0.357,0.321,0,0.232,0.525,199.915,5,54
"Post Malone","Allergic",2019-09-21,2019,2019-09-28,2019,2,37,78,156893,0.665,0.741,0,-3.694,1,0.0787,0.154,3.02e-05,0.345,0.57,144.968,4,78
"Lin-Manuel Miranda Featuring Artists For Puerto Rico","Almost Like Praying",2017-10-28,2017,2017-10-28,2017,1,20,20,200457,0.471,0.791,5,-3.373,0,0.238,0.0198,0,0.232,0.507,188.36,4,49
"Jordan Davis","Almost Maybes",2021-01-16,2021,2021-05-29,2021,17,61,99,179152,0.582,0.868,11,-3.927,1,0.0522,0.146,0,0.103,0.555,90.105,4,76
"Meek Mill","Almost Slipped",2018-12-15,2018,2018-12-15,2018,1,73,73,246792,0.49,0.651,8,-6.24,1,0.251,0.246,0,0.233,0.46,164.213,4,57
"The Weeknd","Alone Again",2020-04-04,2020,2020-04-04,2020,1,21,21,250053,0.218,0.652,4,-7.953,0,0.0641,0.033,0.111,0.172,0.0599,65.375,4,68
"Halsey Featuring Big Sean & Stefflon Don","Alone",2018-04-21,2018,2018-07-28,2018,14,66,100,205660,0.602,0.724,2,-3.469,0,0.0352,0.0184,0,0.606,0.451,100.064,4,64
"Marshmello","Alone",2016-11-05,2016,2019-02-16,2019,11,28,99,273802,0.631,0.953,2,-3.739,1,0.0343,0.0241,0.0155,0.108,0.422,141.99,4,79
"Parmalee","Already Callin' You Mine",2015-11-21,2015,2015-12-26,2015,3,91,100,184386,0.59,0.887,1,-2.634,1,0.0353,0.0504,0,0.132,0.679,120.061,4,52
"Kendrick Lamar","Alright",2015-04-04,2015,2015-10-10,2015,14,81,98,219333,0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,4,74
"The Kid LAROI","Always Do",2020-11-21,2020,2020-11-21,2020,1,83,83,151704,0.762,0.426,8,-6.865,1,0.113,0.0442,0,0.0858,0.582,167.827,4,77
"Bryson Tiller","Always Forever",2020-10-17,2020,2020-10-17,2020,1,83,83,170053,0.605,0.489,10,-7.234,0,0.174,0.168,2.36e-06,0.187,0.326,147.341,4,59
"Lady Gaga","Always Remember Us This Way",2018-10-20,2018,2019-03-23,2019,9,41,100,210200,0.553,0.502,0,-5.972,1,0.0409,0.299,0,0.764,0.296,129.976,4,82
"Jake Owen","American Country Love Song",2016-03-26,2016,2016-10-01,2016,17,55,90,199746,0.529,0.891,8,-4.36,1,0.043,0.0457,0,0.0942,0.329,104.031,4,63
"Rihanna","American Oxygen",2015-05-02,2015,2015-05-23,2015,4,78,97,320161,0.233,0.74,2,-6.268,1,0.151,0.047,0,0.267,0.503,79.005,4,61
"Ozuna","Amor Genuino",2019-06-22,2019,2019-06-22,2019,1,92,92,178160,0.442,0.445,10,-4.071,0,0.0381,0.653,0,0.118,0.423,85.744,4,72
"Nicki Minaj","Anaconda",2014-08-23,2014,2015-01-17,2015,22,2,55,260240,0.964,0.605,9,-6.223,1,0.179,0.0668,7.78e-06,0.214,0.646,129.994,4,65
"Maroon 5","Animals",2014-09-06,2014,2015-04-18,2015,33,3,86,231013,0.279,0.742,4,-6.46,0,0.0898,0.000185,0,0.593,0.328,189.868,4,76
"Kid Cudi","Another Day",2020-12-26,2020,2020-12-26,2020,1,64,64,199786,0.646,0.758,4,-7.75,0,0.0708,0.556,0.00316,0.335,0.0642,172.995,4,67
