"artist","song","first_app","first_year","last_app","last_year","weeks","highest_spot","lowest_spot","length_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","spotify_track_popularity"
"William Michael Morgan","I Met A Girl",2016-09-10,2016,2016-11-05,2016,9,60,99,201533,0.512,0.545,2,-10.154,1,0.0294,0.111,0.00177,0.135,0.346,83.94,4,54
"Chance The Rapper","I Might Need Security",2018-08-04,2018,2018-08-04,2018,1,60,60,240640,0.514,0.693,9,-5.868,1,0.408,0.177,0,0.351,0.287,110.568,3,65
"Clean Bandit Featuring Julia Michaels","I Miss You",2018-01-20,2018,2018-01-20,2018,1,92,92,205986,0.693,0.624,0,-7.482,0,0.0448,0.299,7.64e-06,0.0955,0.369,105.002,4,77
"Shaggy Featuring Mohombi, Faydee, Costi","I Need Your Love",2015-05-23,2015,2015-07-11,2015,8,66,92,216666,0.529,0.794,5,-3.903,1,0.164,0.122,0,0.117,0.543,119.956,3,61
"Annie Lennox","I Put A Spell On You",2015-02-28,2015,2015-02-28,2015,1,97,97,212047,0.568,0.355,2,-7.99,0,0.0359,0.419,1.01e-05,0.126,0.291,174.034,3,59
"Carly Rae Jepsen","I Really Like You",2015-03-21,2015,2015-08-01,2015,20,39,93,204773,0.622,0.808,5,-4.701,1,0.0418,0.00543,5.63e-05,0.215,0.599,122.121,4,66
"Rod Wave","I Remember",2020-04-18,2020,2020-04-18,2020,1,77,77,202997,0.665,0.621,5,-12.599,0,0.238,0.235,0,0.107,0.389,161.849,1,48
"Luke Bryan","I See You",2014-12-13,2014,2015-04-18,2015,19,41,100,185986,0.661,0.81,6,-3.363,1,0.0363,0.0884,0,0.0464,0.722,129.988,4,58
"Dan + Shay","I Should Probably Go To Bed",2020-08-15,2020,2021-01-30,2021,24,28,70,171826,0.721,0.277,1,-7.128,1,0.0365,0.634,0,0.112,0.309,131.935,4,73
"Taylor Swift","I Think He Knows",2019-09-07,2019,2019-09-07,2019,1,51,51,173386,0.897,0.366,0,-8.029,1,0.0569,0.00889,0.000353,0.0715,0.416,100.003,4,75
"Tyler, The Creator","I Think",2019-06-01,2019,2019-06-01,2019,1,51,51,212013,0.826,0.579,8,-8.241,0,0.0801,0.00881,0,0.129,0.431,121.075,4,77
"Kanye West","I Thought About Killing You",2018-06-16,2018,2018-06-16,2018,1,28,28,274186,0.752,0.396,2,-7.932,1,0.411,0.867,0,0.0486,0.417,116.016,4,64
"Mike Posner","I Took A Pill In Ibiza",2016-02-06,2016,2016-10-15,2016,37,4,79,197933,0.663,0.713,7,-6.647,0,0.112,0.0353,7.68e-06,0.0843,0.69,101.965,4,74
"Juice WRLD","I Want It",2020-07-25,2020,2020-07-25,2020,1,47,47,173113,0.288,0.638,4,-6.935,0,0.0779,0.133,8.16e-05,0.14,0.147,66.424,3,71
"Zedd Featuring Selena Gomez","I Want You To Know",2015-03-14,2015,2015-06-27,2015,16,17,95,240000,0.58,0.846,9,-2.876,0,0.0573,0.00537,6.62e-06,0.145,0.366,129.998,4,68
"Jake Owen","I Was Jack (You Were Diane)",2018-06-09,2018,2018-08-18,2018,11,43,94,187026,0.603,0.866,6,-3.541,1,0.0443,0.0819,0,0.0521,0.543,94.057,4,66
"The Weeknd Featuring Gesaffelstein","I Was Never There",2018-04-14,2018,2018-04-14,2018,1,35,35,241066,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,4,72
"Riley Green","I Wish Grandpas Never Died",2020-01-11,2020,2020-03-28,2020,12,66,90,250413,0.445,0.492,6,-5.717,1,0.0294,0.036,0,0.122,0.24,148.013,4,72
"Prince And The Revolution","I Would Die 4 U",1984-12-15,1984,2016-05-14,2016,16,8,97,178986,0.731,0.75,2,-10.457,1,0.0321,0.0862,0.000388,0.202,0.639,135.406,4,61
"Bing Crosby","I'll Be Home For Christmas",2021-01-02,2021,2021-01-02,2021,1,50,50,177026,0.24,0.0967,7,-15.167,1,0.0336,0.707,8.44e-05,0.367,0.178,84.759,4,36
"Summer Walker Featuring Jhene Aiko","I'll Kill You",2019-10-19,2019,2019-11-02,2019,3,61,95,179973,0.679,0.443,10,-8.528,0,0.153,0.427,0,0.106,0.363,104.049,4,75
"Blake Shelton","I'll Name The Dogs",2017-09-30,2017,2018-02-03,2018,19,56,98,183640,0.348,0.87,4,-5.86,1,0.137,0.171,4.4e-06,0.202,0.763,83.392,4,69
"Lady Gaga","I'll Never Love Again",2018-10-20,2018,2019-03-09,2019,7,36,97,281066,0.451,0.34,7,-7.466,1,0.031,0.763,2.49e-06,0.135,0.221,110.502,4,75
"Justin Bieber","I'll Show You",2015-11-21,2015,2016-02-06,2016,12,19,75,199946,0.314,0.611,9,-6.691,0,0.129,0.0427,6.28e-05,0.184,0.0604,191.447,4,68
"Bebe Rexha","I'm A Mess",2018-07-28,2018,2018-12-08,2018,20,35,92,195519,0.63,0.694,11,-6.257,0,0.0253,0.00281,0,0.0719,0.216,97.005,4,82
"Missy Elliott Featuring Lamb","I'm Better",2017-02-18,2017,2017-02-18,2017,1,71,71,213120,0.926,0.354,10,-10.773,1,0.511,0.374,0,0.49,0.561,105.005,4,53
"Chris Young","I'm Comin' Over",2015-05-30,2015,2015-12-19,2015,23,33,100,197280,0.575,0.845,10,-3.838,1,0.035,0.0282,0,0.0814,0.376,127.997,4,71
"Post Malone","I'm Gonna Be",2019-09-21,2019,2019-09-28,2019,2,33,71,200680,0.746,0.559,5,-4.008,1,0.0316,0.703,0,0.148,0.368,117.943,4,79
"Sam Smith","I'm Not The Only One",2014-06-21,2014,2015-05-30,2015,37,5,93,239316,0.677,0.485,5,-5.795,1,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,4,84
"Lauv & Troye Sivan","I'm So Tired...",2019-02-09,2019,2019-05-25,2019,6,81,94,162582,0.599,0.733,11,-7.058,1,0.203,0.176,0,0.242,0.534,102.211,4,85
"Lil Uzi Vert","I'm Sorry",2020-03-21,2020,2020-03-21,2020,1,37,37,211882,0.858,0.547,1,-5.822,1,0.29,0.213,0,0.104,0.303,128.02,4,62
"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne","I'm The One",2017-05-20,2017,2017-10-14,2017,22,1,42,288876,0.599,0.667,7,-4.267,1,0.0367,0.0533,0,0.134,0.817,80.984,4,71
"Drake & Future","I'm The Plug",2015-10-10,2015,2015-11-07,2015,5,76,96,180000,0.828,0.55,5,-9.158,1,0.252,0.000377,0.0016,0.133,0.25,160.016,4,58
"Kip Moore","I'm To Blame",2015-09-12,2015,2015-09-12,2015,1,100,100,136013,0.688,0.878,7,-5.358,1,0.0384,0.303,0,0.0775,0.895,89.989,4,53
"Drake","I'm Upset",2018-06-09,2018,2018-09-22,2018,16,7,97,214466,0.899,0.586,11,-7.866,0,0.344,0.279,0,0.0836,0.492,150.001,4,75
"Lil Peep & iLoveMakonnen Featuring Fall Out Boy","I've Been Waiting",2019-03-23,2019,2019-05-18,2019,9,62,96,233613,0.741,0.845,5,-3.568,0,0.0381,0.15,0,0.174,0.926,129.939,4,78
"Drake Featuring Young Thug","Ice Melts",2017-04-08,2017,2017-04-15,2017,2,62,85,250770,0.813,0.558,9,-7.559,1,0.337,0.0754,0,0.385,0.631,124.949,4,63
"Dua Lipa","IDGAF",2018-01-27,2018,2018-06-30,2018,23,49,99,217946,0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,4,84
"BTS Featuring Nicki Minaj","IDOL",2018-09-08,2018,2018-09-22,2018,3,11,92,222732,0.734,0.855,9,-3.211,1,0.118,0.00481,0,0.123,0.422,126.035,4,77
"Billie Eilish","idontwannabeyouanymore",2019-01-12,2019,2019-01-26,2019,3,96,100,203569,0.483,0.412,7,-8.461,1,0.0402,0.737,0,0.116,0.247,170.163,3,86
"Shawn Mendes","If I Can't Have You",2019-05-18,2019,2019-10-19,2019,23,2,48,190800,0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911,4,85
"Shawn Mendes","If I Can't Have You",2019-05-18,2019,2019-10-19,2019,23,2,48,190800,0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911,4,86
"One Direction","If I Could Fly",2015-12-05,2015,2015-12-05,2015,1,83,83,230320,0.565,0.245,5,-9.132,1,0.0262,0.781,0,0.0998,0.307,75.055,4,71
"Darius Rucker","If I Told You",2017-04-29,2017,2017-07-15,2017,11,53,99,212320,0.532,0.64,9,-6.684,1,0.0314,0.344,0,0.361,0.308,84.029,4,64
"Kodak Black","If I'm Lyin, I'm Flyin",2018-10-13,2018,2018-10-27,2018,3,56,99,130929,0.715,0.617,11,-5.558,0,0.24,0.0996,3.41e-06,0.186,0.283,176.117,4,65
"Jason Derulo","If It Ain't Love",2016-04-30,2016,2016-06-18,2016,8,67,94,203105,0.503,0.843,10,-4.991,0,0.316,0.0487,0,0.344,0.778,128.63,4,62
"Dove Cameron","If Only",2015-08-22,2015,2015-08-29,2015,2,94,99,229813,0.477,0.6,7,-5.652,1,0.0324,0.271,0,0.112,0.29,152.062,3,65
"Moneybagg Yo","If Pain Was A Person",2021-05-08,2021,2021-05-15,2021,2,54,96,240917,0.584,0.611,0,-8.692,1,0.52,0.0694,0,0.453,0.798,144.347,4,67
"Granger Smith","If The Boot Fits",2017-01-28,2017,2017-02-18,2017,3,80,100,170093,0.528,0.928,3,-5.743,1,0.0456,0.0252,2.88e-06,0.0467,0.885,162.069,4,54
"Pusha T","If You Know You Know",2018-06-09,2018,2018-06-09,2018,1,73,73,202120,0.46,0.697,6,-5.954,0,0.325,0.0186,0,0.362,0.701,153.426,4,65
"Tyler, The Creator","Igor's Theme",2019-06-01,2019,2019-06-01,2019,1,67,67,200693,0.467,0.672,10,-7.371,0,0.377,0.00559,0.243,0.607,0.0648,163.1,4,70
"Lil Skies","I",2019-03-16,2019,2019-04-06,2019,4,39,82,181890,0.649,0.453,6,-7.28,1,0.085,0.627,0,0.116,0.431,99.183,4,82
"Taylor Swift","Illicit Affairs",2020-08-08,2020,2020-08-08,2020,1,44,44,190898,0.559,0.31,10,-10.445,1,0.0338,0.881,0,0.106,0.46,119.845,4,70
"Billie Eilish","Ilomilo",2019-04-13,2019,2019-04-13,2019,1,62,62,156370,0.855,0.423,5,-15.044,0,0.0585,0.724,0.469,0.0896,0.572,120.02,4,82
"Ariana Grande","Imagine",2018-12-29,2018,2019-03-09,2019,8,21,99,212266,0.729,0.475,8,-4.985,1,0.0364,0.378,0,0.12,0.371,62.52,3,79
"Sawyer Fredericks","Imagine",2015-05-02,2015,2015-05-02,2015,1,98,98,191320,0.308,0.355,10,-8.226,1,0.0274,0.768,0,0.0875,0.172,84.046,4,25
"Romeo Santos","Imitadora",2017-08-12,2017,2017-08-12,2017,1,91,91,234828,0.737,0.709,8,-6.889,0,0.045,0.333,0,0.289,0.556,125.997,4,75
"21 Savage","Immortal",2019-11-16,2019,2019-11-23,2019,2,55,100,254723,0.741,0.87,6,-3.494,0,0.503,0.00813,0,0.114,0.663,184.194,4,83
"J. Cole","Immortal",2016-12-31,2016,2017-01-28,2017,5,11,97,201666,0.713,0.419,11,-10.668,1,0.356,0.435,2.87e-06,0.126,0.253,91.634,4,68
"Fall Out Boy","Immortals",2015-02-07,2015,2015-04-25,2015,8,72,96,189386,0.613,0.874,2,-3.594,1,0.0697,0.00139,1.82e-06,0.656,0.543,108.038,4,75
"Scotty McCreery","In Between",2020-04-25,2020,2020-07-18,2020,13,53,96,221600,0.592,0.928,11,-5.402,1,0.0558,0.0166,1.5e-05,0.123,0.393,121.996,4,61
"Brett Young","In Case You Didn't Know",2017-02-25,2017,2017-09-02,2017,28,19,94,224853,0.607,0.536,10,-7.306,1,0.0305,0.386,0,0.102,0.434,147.986,4,74
"YoungBoy Never Broke Again","In Control",2019-10-26,2019,2019-11-02,2019,2,73,86,181436,0.643,0.77,5,-4.524,0,0.228,0.13,0,0.247,0.863,170.006,4,73
"Shawn Mendes","In My Blood",2018-03-31,2018,2018-09-01,2018,23,11,72,211360,0.622,0.712,5,-7.321,1,0.066,0.0573,0,0.13,0.487,140.025,4,83
"Drake","In My Feelings",2018-07-14,2018,2018-12-08,2018,22,1,37,217925,0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,4,84
"Ariana Grande","In My Head",2019-02-23,2019,2019-03-02,2019,2,38,74,150000,0.662,0.6,0,-6.402,1,0.0703,0.173,0.000137,0.109,0.331,134.979,4,55
"Frank Ocean","In My Room",2019-11-16,2019,2019-11-16,2019,1,85,85,133680,0.861,0.647,7,-7.425,1,0.0675,0.594,0.661,0.114,0.67,158.037,4,80
"Linkin Park","In The End",2001-11-03,2001,2017-08-12,2017,39,2,78,216880,0.542,0.853,3,-6.407,0,0.0498,0.0103,0,0.108,0.37,105.256,4,84
"Martin Garrix & Bebe Rexha","In The Name Of Love",2016-09-03,2016,2017-02-04,2017,23,24,93,195706,0.501,0.519,4,-5.88,0,0.0409,0.109,0,0.454,0.168,133.99,4,82
"The Weeknd","In The Night",2015-09-19,2015,2016-04-09,2016,20,12,100,235653,0.505,0.68,7,-4.99,1,0.0713,0.0796,0,0.0465,0.539,168.021,3,73
"Eminem","In Too Deep",2020-02-01,2020,2020-02-01,2020,1,71,71,194706,0.72,0.767,10,-5.839,0,0.214,0.0387,0,0.202,0.595,88.966,4,63
"Nico & Vinz","In Your Arms",2014-11-01,2014,2015-01-17,2015,12,72,100,205800,0.431,0.81,7,-6.051,1,0.0958,0.299,0,0.249,0.674,110.118,4,57
"The Weeknd","In Your Eyes",2020-04-04,2020,2020-07-11,2020,15,16,89,237520,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,4,84
"Logic Featuring Wiz Khalifa","Indica Badu",2018-03-24,2018,2018-03-24,2018,1,56,56,260320,0.715,0.723,7,-3.263,1,0.191,0.0441,0.000834,0.102,0.97,77.02,4,65
"Eminem","Infinite",2016-12-10,2016,2016-12-10,2016,1,97,97,251707,0.637,0.862,10,-4.343,0,0.191,0.293,0,0.217,0.573,82.019,4,57
"XXXTENTACION Featuring Joey Bada$$","Infinity (888)",2018-03-31,2018,2018-03-31,2018,1,83,83,176590,0.562,0.579,10,-6.788,0,0.484,0.274,0,0.102,0.577,84.143,4,71
"Mariah Carey","Infinity",2015-05-16,2015,2015-05-16,2015,1,82,82,239800,0.55,0.805,1,-4.327,1,0.0862,0.052,3.12e-06,0.281,0.217,134.755,4,42
"One Direction","Infinity",2015-10-10,2015,2015-10-17,2015,2,54,85,249480,0.537,0.705,4,-6.073,1,0.0337,0.0687,0,0.0842,0.32,131.965,4,66
"Pusha T","Infrared",2018-06-09,2018,2018-06-09,2018,1,65,65,170240,0.674,0.578,10,-8.768,0,0.298,0.0518,0.0055,0.72,0.163,112.265,5,55
"Aventura","Inmortal",2019-04-20,2019,2019-04-20,2019,1,95,95,256440,0.77,0.775,8,-4.65,0,0.0349,0.178,0,0.0651,0.848,124.015,4,75
"Kendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg","Institutionalized",2015-04-04,2015,2015-04-04,2015,1,99,99,271773,0.539,0.731,3,-5.085,0,0.453,0.112,1.19e-06,0.129,0.568,81.114,4,61
"J. Cole","interlude",2021-05-22,2021,2021-05-29,2021,2,8,17,197821,0.623,0.473,8,-8.336,1,0.461,0.626,0,0.119,0.138,84.066,4,57
"Post Malone","Internet",2019-09-21,2019,2019-09-21,2019,1,58,58,123386,0.469,0.489,0,-6.071,1,0.0314,0.841,0,0.103,0.201,74.013,4,76
"Idina Menzel & AURORA","Into The Unknown",2019-12-07,2019,2020-04-11,2020,12,46,99,194848,0.323,0.405,10,-8.533,0,0.0413,0.849,0.000544,0.138,0.274,145.104,5,88
"Panic! At The Disco","Into The Unknown",2019-12-07,2019,2019-12-14,2019,2,98,99,189132,0.456,0.828,1,-6.225,1,0.077,0.0244,0,0.21,0.313,116.719,4,82
"Ariana Grande","Into You",2016-05-28,2016,2016-11-12,2016,24,13,83,179231,0.623,0.734,9,-5.95,1,0.107,0.0162,1.9e-06,0.145,0.372,107.853,4,55
"DaBaby","INTRO",2019-10-05,2019,2019-11-09,2019,6,13,90,172800,0.862,0.685,0,-7.699,0,0.242,0.0342,0,0.204,0.672,100.024,4,80
"J. Cole","Intro",2018-05-05,2018,2018-05-05,2018,1,53,53,190176,0.678,0.648,2,-5.892,1,0.445,0.147,0,0.182,0.635,94.336,4,70
"Meek Mill","Intro",2018-12-15,2018,2018-12-15,2018,1,55,55,213402,0.678,0.76,1,-5.546,1,0.221,0.0557,0,0.359,0.24,96.044,4,63
"Taylor Swift","Invisible String",2020-08-08,2020,2020-08-15,2020,2,37,85,252880,0.653,0.452,4,-11.143,0,0.055,0.838,7.73e-05,0.108,0.45,83.433,4,72
"DaBaby & Nicki Minaj","iPHONE",2019-10-12,2019,2019-10-12,2019,1,43,43,191920,0.733,0.574,1,-6.409,0,0.266,0.243,0,0.231,0.305,159.987,4,71
"Sawyer Fredericks","Iris",2015-05-09,2015,2015-05-09,2015,1,100,100,190930,0.475,0.651,0,-6.216,1,0.0316,0.00725,0,0.1,0.318,51.391,4,27
"Fall Out Boy","Irresistible",2015-01-24,2015,2016-03-05,2016,14,48,98,206506,0.484,0.938,2,-3.114,1,0.105,0.0633,0,0.248,0.397,164.992,4,66
"Lady Gaga","Is That Alright?",2018-10-20,2018,2018-10-20,2018,1,63,63,191280,0.557,0.279,6,-7.757,1,0.0372,0.868,1.25e-05,0.0978,0.263,102.727,4,67
"Drake","Is There More",2018-07-14,2018,2018-07-21,2018,2,36,100,226906,0.698,0.547,1,-7.607,1,0.315,0.727,0,0.159,0.548,83.801,4,64
"Joyner Lucas Featuring Logic","Isis",2019-06-08,2019,2019-06-15,2019,2,59,79,236000,0.918,0.837,1,-6.792,1,0.255,0.234,0,0.227,0.855,120.017,4,80
"KYLE Featuring Lil Yachty","iSpy",2017-01-14,2017,2017-08-05,2017,30,4,80,253106,0.746,0.653,7,-6.745,1,0.289,0.378,0,0.229,0.672,75.016,4,78
"Julia Michaels","Issues",2017-02-11,2017,2017-08-26,2017,29,11,87,176320,0.728,0.415,8,-6.852,1,0.0639,0.401,0,0.0616,0.455,114.145,4,73
"Meek Mill","Issues",2017-08-12,2017,2017-08-12,2017,1,77,77,211684,0.784,0.608,7,-5.885,1,0.245,0.167,0,0.0871,0.382,90.713,4,49
"Brothers Osborne","It Ain't My Fault",2017-07-01,2017,2017-10-21,2017,16,79,100,216800,0.735,0.831,9,-5.898,1,0.0332,0.00166,0.217,0.291,0.756,123.017,4,66
"Miranda Lambert","It All Comes Out In The Wash",2019-11-16,2019,2019-11-23,2019,2,70,82,214786,0.602,0.73,0,-4.925,1,0.0314,0.00106,0.000115,0.095,0.923,164.027,4,65
"Billy Currington","It Don't Hurt Like It Used To",2016-08-13,2016,2016-12-03,2016,17,44,97,184506,0.503,0.824,3,-4.039,1,0.0524,0.083,0,0.21,0.448,161.981,4,67
"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko","It's A Vibe",2017-07-01,2017,2017-11-11,2017,20,44,95,210200,0.822,0.505,7,-7.384,1,0.147,0.0317,0.000911,0.114,0.523,73.003,4,76
"Michael Buble","It's Beginning To Look A Lot Like Christmas",2011-12-17,2011,2021-01-02,2021,5,23,96,206639,0.35,0.232,4,-11.042,1,0.0331,0.907,9.21e-06,0.292,0.381,93.269,3,90
"Perry Como & The Fontane Sisters","It's Beginning To Look A Lot Like Christmas",2018-12-29,2018,2018-12-29,2018,1,42,42,155933,0.725,0.276,7,-12.25,1,0.0599,0.76,0,0.116,0.717,112.89,4,87
"Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra","It's Beginning To Look A Lot Like Christmas",2019-01-05,2019,2021-01-02,2021,7,12,50,155933,0.725,0.276,7,-12.25,1,0.0599,0.76,0,0.116,0.717,112.89,4,85
"Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra","It's Beginning To Look A Lot Like Christmas",2019-01-05,2019,2021-01-02,2021,7,12,50,155933,0.725,0.276,7,-12.25,1,0.0599,0.76,0,0.116,0.717,112.89,4,87
"Jake Paul Featuring Team 10","It's Everyday Bro",2017-06-24,2017,2017-12-16,2017,2,91,94,217678,0.79,0.714,1,-7.86,0,0.202,0.00142,0,0.111,0.559,150.033,5,60
"Andy Williams","It's The Most Wonderful Time Of The Year",2017-01-07,2017,2021-01-09,2021,20,5,49,151933,0.24,0.598,7,-8.435,1,0.037,0.766,0,0.117,0.776,202.082,3,89
"Andy Williams","It's The Most Wonderful Time Of The Year",2017-01-07,2017,2021-01-09,2021,20,5,49,151933,0.24,0.598,7,-8.435,1,0.037,0.766,0,0.117,0.776,202.082,3,91
"Ali Gatie","It's You",2019-06-29,2019,2019-10-05,2019,15,70,97,212606,0.732,0.463,11,-6.972,0,0.0287,0.374,0,0.194,0.397,95.971,4,89
"Zayn","It's You",2016-03-19,2016,2016-03-19,2016,1,59,59,226653,0.611,0.319,5,-10.743,1,0.0357,0.815,0.0151,0.108,0.176,124.92,4,63
"RiceGum Featuring Alissa Violet","Its Every Night Sis",2017-09-09,2017,2017-09-09,2017,1,80,80,155193,0.887,0.784,8,-5.598,1,0.199,0.0244,0,0.112,0.408,98.984,4,57
"Nicki Minaj","Itty Bitty Piggy",2021-05-29,2021,2021-05-29,2021,1,82,82,246752,0.761,0.722,7,-4.343,1,0.391,0.12,0,0.0649,0.798,92.45,4,72
"Frank Ocean","Ivy",2016-09-10,2016,2016-09-10,2016,1,80,80,249191,0.567,0.388,9,-9.579,0,0.0384,0.782,0.000309,0.248,0.452,116.362,4,79
"Taylor Swift","Ivy",2020-12-26,2020,2020-12-26,2020,1,61,61,260440,0.515,0.545,2,-9.277,1,0.0353,0.855,1.97e-05,0.0921,0.535,88.856,4,69
"Tiesto & Dzeko Featuring Preme & Post Malone","Jackie Chan",2018-07-21,2018,2018-11-24,2018,19,52,100,215759,0.747,0.834,3,-2.867,0,0.045,0.374,0,0.0586,0.687,128.005,4,80
"Drake","Jaded",2018-07-14,2018,2018-07-21,2018,2,32,67,262453,0.766,0.271,0,-5.697,1,0.0412,0.037,0,0.175,0.0371,116.02,4,70
"Kevin Gates Featuring Trey Songz, Ty Dolla $ign & Jamie Foxx","Jam",2016-02-20,2016,2016-02-20,2016,1,97,97,213533,0.744,0.633,2,-7.732,1,0.113,0.0333,0,0.144,0.549,120.011,4,55
"Famous Dex","Japan",2018-04-07,2018,2018-07-14,2018,15,28,96,142000,0.733,0.678,6,-7.771,1,0.438,0.121,0,0.344,0.841,175.985,4,77
"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean","Jealous",2019-06-01,2019,2019-06-01,2019,1,57,57,255101,0.614,0.685,10,-3.684,1,0.147,0.0133,0,0.313,0.61,94.9,4,73
"Nick Jonas","Jealous",2014-09-27,2014,2015-05-02,2015,32,7,80,223973,0.684,0.71,11,-3.614,0,0.0779,0.0132,0,0.444,0.451,93.007,4,24
"Tory Lanez & T-Pain","Jerry Sprunger",2019-11-23,2019,2020-02-22,2020,10,44,98,233546,0.76,0.746,0,-5.331,0,0.227,0.137,0,0.0905,0.449,100.011,4,81
"Future","Jersey",2015-10-17,2015,2015-10-24,2015,2,87,91,188702,0.758,0.526,5,-10.81,0,0.255,0.509,0.000467,0.0913,0.312,146.054,4,63
"Kanye West","Jesus Is Lord",2019-11-09,2019,2019-11-09,2019,1,63,63,49292,0.243,0.26,4,-5.876,0,0.0305,0.828,4.03e-05,0.532,0.327,76.61,3,72
"5 Seconds Of Summer","Jet Black Heart",2015-09-19,2015,2015-09-19,2015,1,95,95,221715,0.507,0.85,11,-4.274,0,0.033,0.000163,0,0.0812,0.545,153.957,4,62
"Future & Juice WRLD Featuring Young Scooter","Jet Lag",2018-11-03,2018,2018-11-03,2018,1,72,72,271066,0.81,0.458,4,-7.495,0,0.105,0.266,0,0.174,0.493,125.049,4,71
"Fetty Wap","Jimmy Choo",2016-02-27,2016,2016-05-07,2016,11,65,98,176855,0.893,0.646,11,-5.073,0,0.1,0.112,0,0.104,0.468,132.97,4,57
"Bobby Helms","Jingle Bell Rock",1958-12-20,1958,2021-01-09,2021,36,3,99,130973,0.754,0.424,2,-8.463,1,0.0363,0.643,0,0.0652,0.806,119.705,4,89
"Bobby Helms","Jingle Bell Rock",1958-12-20,1958,2021-01-09,2021,36,3,99,130973,0.754,0.424,2,-8.463,1,0.0363,0.643,0,0.0652,0.806,119.705,4,91
"Frank Sinatra","Jingle Bells",2019-01-05,2019,2020-01-04,2020,2,43,49,122160,0.707,0.391,8,-11.437,1,0.0353,0.778,0,0.0611,0.868,87.243,4,80
"XXXTentacion","Jocelyn Flores",2017-09-16,2017,2017-10-28,2017,7,31,64,119133,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,4,88
"Post Malone","Jonestown (Interlude)",2018-05-12,2018,2018-05-12,2018,1,73,73,112013,0.341,0.495,0,-10.251,0,0.0446,0.751,0.462,0.261,0.252,78.395,4,64
"Drake","Jorja Interlude",2017-04-08,2017,2017-04-15,2017,2,49,83,107673,0.719,0.354,11,-10.461,1,0.104,0.755,0.00969,0.349,0.205,123.152,4,63
"Fetty Wap Featuring Monty","Jugg",2015-10-17,2015,2016-01-16,2016,6,86,99,200253,0.635,0.721,10,-4.811,0,0.049,0.0324,0,0.222,0.499,148.064,4,53
"Lizzo","Juice",2019-05-25,2019,2019-09-14,2019,4,82,100,195144,0.767,0.889,7,-2.988,1,0.0963,0.00611,0,0.402,0.843,119.93,4,82
"Lizzo","Juice",2019-05-25,2019,2019-09-14,2019,4,82,100,195144,0.767,0.889,7,-2.988,1,0.0963,0.00611,0,0.402,0.843,119.93,4,82
"Yo Gotti","Juice",2017-12-23,2017,2018-01-20,2018,5,90,100,149241,0.887,0.568,2,-5.853,1,0.323,0.00171,1.11e-05,0.0812,0.754,162.038,4,58
"Doja Cat & Tyga","Juicy",2019-08-31,2019,2020-03-21,2020,20,41,83,202333,0.786,0.658,0,-2.61,1,0.0661,0.0856,0,0.0689,0.458,170.037,4,82
"Zay Hilfigerrr & Zayion McCall","Juju On That Beat (TZ Anthem)",2016-10-08,2016,2017-03-04,2017,21,5,89,144244,0.807,0.887,1,-3.892,1,0.275,0.00381,0,0.391,0.78,160.517,4,65
"Meek Mill Featuring Future","Jump Out The Face",2015-07-25,2015,2015-08-01,2015,2,91,98,161906,0.699,0.543,0,-8.879,1,0.138,0.0411,1.26e-06,0.178,0.14,130.064,4,59
"Big Sean","Jump Out The Window",2017-02-25,2017,2017-02-25,2017,1,76,76,213693,0.745,0.714,1,-6.729,1,0.0768,0.147,0,0.132,0.554,136.972,4,70
"Future","Jumpin On A Jet",2019-01-26,2019,2019-02-02,2019,2,57,80,137133,0.824,0.595,11,-6.346,1,0.091,0.0571,3.7e-06,0.0876,0.157,140.039,4,61
"Drake & Future","Jumpman",2015-10-10,2015,2016-05-14,2016,32,12,52,205879,0.852,0.553,1,-7.286,1,0.187,0.0563,0,0.332,0.656,142.072,4,76
"twenty one pilots","Jumpsuit",2018-07-21,2018,2018-10-20,2018,4,50,88,238560,0.62,0.61,11,-8.329,0,0.0373,0.00849,0.162,0.205,0.235,127.052,4,75
"Jason Aldean","Just Gettin' Started",2014-10-18,2014,2015-04-11,2015,18,54,94,195480,0.507,0.805,9,-4.611,0,0.0867,0.396,1.16e-06,0.106,0.513,167.983,4,53
"Steve Aoki & Louis Tomlinson","Just Hold On",2016-12-31,2016,2017-02-04,2017,6,52,99,198774,0.647,0.932,11,-3.517,1,0.083,0.00377,1.69e-06,0.0574,0.387,115,4,62
