District,School,Subject,2018%,2019%,2022%,2023%
Carteret County Public Schools,Beaufort Elementary,Math Grade 3-8,60.2,69.8,64.4,72.2
Carteret County Public Schools,Beaufort Elementary,Science Grade 5&8,67.6,77.3,77.3,72.5
Carteret County Public Schools,Beaufort Middle,Reading Grade 3-8,68.6,66.3,51.6,54.9
Carteret County Public Schools,Beaufort Middle,Math Grade 3-8,52.9,62.7,52.6,55.7
Carteret County Public Schools,Beaufort Middle,Science Grade 5&8,84.4,85,84,75
Carteret County Public Schools,Broad Creek Middle,Reading Grade 3-8,77.4,79.2,70.9,72
Carteret County Public Schools,Broad Creek Middle,Math Grade 3-8,66.4,73.5,72.1,71.3
Carteret County Public Schools,Broad Creek Middle,Science Grade 5&8,90,93.2,83.8,87.8
Carteret County Public Schools,East Carteret High,Biology,77.9,76.2,72,81.9
Carteret County Public Schools,East Carteret High,English II,56.8,68.1,66.7,65.2
Carteret County Public Schools,Croatan High,Biology,83.6,86.8,90.2,67.6
Carteret County Public Schools,Croatan High,English II,78.4,77.3,81.5,78.9
Carteret County Public Schools,Harkers Island Elementary,Reading Grade 3-8,66.7,78.3,57.6,63.3
Carteret County Public Schools,Harkers Island Elementary,Math Grade 3-8,68.5,87,67.8,68.3
Carteret County Public Schools,Harkers Island Elementary,Science Grade 5&8,78.3,80,78.6,71.4
Carteret County Public Schools,Morehead Elem at Camp Glenn,Reading Grade 3-8,66.9,71,53.2,57
Carteret County Public Schools,Morehead Elem at Camp Glenn,Math Grade 3-8,68.6,64.1,58.9,63.5
Carteret County Public Schools,Morehead Elem at Camp Glenn,Science Grade 5&8,72.7,75.6,63.8,62
Carteret County Public Schools,Morehead City Middle,Reading Grade 3-8,68.7,72.4,64,60.5
Carteret County Public Schools,Morehead City Middle,Math Grade 3-8,62.1,70.3,61.6,65.3
Carteret County Public Schools,Morehead City Middle,Science Grade 5&8,88.2,92.7,88.7,86.2
Carteret County Public Schools,Morehead City Primary,Reading Grade 3-8,66.7,77.3,57.9,63.9
Carteret County Public Schools,Morehead City Primary,Math Grade 3-8,65.1,79.3,60.3,71.4
Carteret County Public Schools,Newport Elementary,Reading Grade 3-8,64.4,57.3,44.8,54.3
Carteret County Public Schools,Newport Elementary,Math Grade 3-8,71.2,64.3,56.1,61.7
Carteret County Public Schools,Newport Elementary,Science Grade 5&8,69.2,78.7,67.9,84.3
Carteret County Public Schools,Newport Middle,Reading Grade 3-8,64.9,71.3,52.9,48.1
Carteret County Public Schools,Newport Middle,Math Grade 3-8,59.5,75.1,54.8,52.7
Carteret County Public Schools,Newport Middle,Science Grade 5&8,77.7,91.1,78.5,66.7
Carteret County Public Schools,Down East Middle and Smyrna Elementary,Reading Grade 3-8,66.7,65.9,64.1,65.1
Carteret County Public Schools,Down East Middle and Smyrna Elementary,Math Grade 3-8,63,65,59.5,69.3
Carteret County Public Schools,Down East Middle and Smyrna Elementary,Science Grade 5&8,84.5,88.6,72.5,84.4
Carteret County Public Schools,West Carteret High,Biology,73.5,80.7,76.4,73.6
Carteret County Public Schools,West Carteret High,English II,77.5,71.3,66.2,66.8
Carteret County Public Schools,White Oak Elementary,Reading Grade 3-8,73.8,70.4,65.1,67.2
Carteret County Public Schools,White Oak Elementary,Math Grade 3-8,78.8,75.5,76.8,78.7
Carteret County Public Schools,White Oak Elementary,Science Grade 5&8,85.3,81.8,73.7,82.6
Caswell County Schools,Bartlett Yancey High,Biology,45.6,31.3,16.3,20.8
Caswell County Schools,Bartlett Yancey High,English II,45.7,37.6,37.7,30.6
Caswell County Schools,North Elementary,Reading Grade 3-8,53.6,59.6,42.7,43.3
Caswell County Schools,North Elementary,Math Grade 3-8,61.9,68.3,55.5,43.3
Caswell County Schools,North Elementary,Science Grade 5&8,50,63.9,49.2,44.6
Caswell County Schools,N L Dillard Middle,Reading Grade 3-8,42.1,37.9,36.1,36.7
Caswell County Schools,N L Dillard Middle,Math Grade 3-8,25.8,34.7,25,26.7
Caswell County Schools,N L Dillard Middle,Science Grade 5&8,67.2,69.2,71.8,70.6
Caswell County Schools,Oakwood Elementary,Reading Grade 3-8,50.9,41.4,34.8,31.6
Caswell County Schools,Oakwood Elementary,Math Grade 3-8,39.3,52.9,36.2,43.4
Caswell County Schools,Oakwood Elementary,Science Grade 5&8,50,65.5,48.8,45.7
Caswell County Schools,South Elementary,Reading Grade 3-8,47.1,52.6,33.3,28.4
Caswell County Schools,South Elementary,Math Grade 3-8,46.1,55.3,36.6,40.2
Caswell County Schools,South Elementary,Science Grade 5&8,47.2,61.7,37.5,54.8
Caswell County Schools,Stoney Creek Elementary,Reading Grade 3-8,40.2,45.7,36.8,39.1
Caswell County Schools,Stoney Creek Elementary,Math Grade 3-8,42.9,37,22.4,46.4
Caswell County Schools,Stoney Creek Elementary,Science Grade 5&8,57.5,52.8,45.5,64.3
Catawba County Schools,Harry M Arndt Middle,Reading Grade 3-8,62.8,62.5,50.5,45.8
Catawba County Schools,Harry M Arndt Middle,Math Grade 3-8,58,65.8,55.7,51.5
Catawba County Schools,Harry M Arndt Middle,Science Grade 5&8,85.7,82.2,79.5,77.5
Catawba County Schools,Balls Creek Elementary,Reading Grade 3-8,64.1,62.4,50.6,56.5
Catawba County Schools,Balls Creek Elementary,Math Grade 3-8,72.5,74.2,71.3,71.6
Catawba County Schools,Balls Creek Elementary,Science Grade 5&8,81.6,85.6,71.1,80.8
Catawba County Schools,Bandys High,Biology,68.9,57.6,61.5,60.9
Catawba County Schools,Bandys High,English II,64.6,64.1,69.5,71.5
Catawba County Schools,Banoak Elementary,Reading Grade 3-8,60.7,60.9,44.3,50.9
Catawba County Schools,Banoak Elementary,Math Grade 3-8,54.9,55.2,51.7,53.4
Catawba County Schools,Banoak Elementary,Science Grade 5&8,69.8,66.7,85.3,62
Catawba County Schools,Blackburn Elementary,Reading Grade 3-8,61.6,62.3,47.6,51.4
Catawba County Schools,Blackburn Elementary,Math Grade 3-8,65.5,64.2,58.7,62.6
Catawba County Schools,Blackburn Elementary,Science Grade 5&8,72.8,71,73.3,74.7
Catawba County Schools,Bunker Hill High,Biology,43.7,61,40.9,56.5
Catawba County Schools,Bunker Hill High,English II,58.9,45.6,52.5,47.8
Catawba County Schools,Catawba Elementary School,Reading Grade 3-8,57.4,53.2,35.8,46.5
Catawba County Schools,Catawba Elementary School,Math Grade 3-8,53.7,48.4,53.5,59.7
Catawba County Schools,Catawba Elementary School,Science Grade 5&8,53.5,82.5,63.6,74.5
Catawba County Schools,Challenger Early College High,Biology,93.6,97.5,97.5,97.5
Catawba County Schools,Challenger Early College High,English II,93.3,97.5,97.5,97.5
Catawba County Schools,Charles H Tuttle Elementary,Reading Grade 3-8,62.5,62.1,45.2,44.8
Catawba County Schools,Charles H Tuttle Elementary,Math Grade 3-8,70.3,65.4,58.6,61
Catawba County Schools,Charles H Tuttle Elementary,Science Grade 5&8,71.4,83.8,67.1,72.4
Catawba County Schools,Claremont Elementary,Reading Grade 3-8,55.6,57,43,44.1
Catawba County Schools,Claremont Elementary,Math Grade 3-8,52.1,48.6,53.1,58.1
Catawba County Schools,Claremont Elementary,Science Grade 5&8,75.4,84.8,66.7,83.1
Catawba County Schools,Clyde Campbell Elementary,Reading Grade 3-8,65.8,61.5,58.1,58.1
Catawba County Schools,Clyde Campbell Elementary,Math Grade 3-8,64.8,59.2,68.6,75.4
Catawba County Schools,Clyde Campbell Elementary,Science Grade 5&8,87.1,81.5,74.5,67.1
Catawba County Schools,Fred T Foard High,Biology,57.5,68.8,55.2,69.1
Catawba County Schools,Fred T Foard High,English II,63.3,64.7,63.2,55.9
Catawba County Schools,Jacobs Fork Middle,Reading Grade 3-8,68.5,65.3,59.9,55.1
Catawba County Schools,Jacobs Fork Middle,Math Grade 3-8,64.8,66.5,60.5,57.4
Catawba County Schools,Jacobs Fork Middle,Science Grade 5&8,91.8,85.7,86.1,80.4
Catawba County Schools,Lyle Creek Elementary,Reading Grade 3-8,51.6,53.4,35,40.2
Catawba County Schools,Lyle Creek Elementary,Math Grade 3-8,59.6,57.9,49.6,55.1
Catawba County Schools,Lyle Creek Elementary,Science Grade 5&8,46.3,63.5,52.2,67.6
Catawba County Schools,Maiden Elementary,Reading Grade 3-8,57.7,57.2,43.3,50.9
Catawba County Schools,Maiden Elementary,Math Grade 3-8,61.3,59.8,54.3,67.8
Catawba County Schools,Maiden Elementary,Science Grade 5&8,57.5,75.3,65,57.8
Catawba County Schools,Maiden Middle School,Reading Grade 3-8,65.4,56,54.4,50.7
Catawba County Schools,Maiden Middle School,Math Grade 3-8,54.3,60.8,57.3,57.1
Catawba County Schools,Maiden Middle School,Science Grade 5&8,83.4,77.8,81.2,78.7
Catawba County Schools,Maiden High,Biology,56.4,63.4,52.1,56.8
Catawba County Schools,Maiden High,English II,63.8,60.9,57.5,57.1
Catawba County Schools,Mill Creek Middle,Reading Grade 3-8,63.4,58.3,54.5,54
Catawba County Schools,Mill Creek Middle,Math Grade 3-8,57.2,66.3,59.9,58.7
Catawba County Schools,Mill Creek Middle,Science Grade 5&8,86.3,85.1,82.8,81.1
Catawba County Schools,Mountain View Elementary,Reading Grade 3-8,73.6,74.9,62.2,64.4
Catawba County Schools,Mountain View Elementary,Math Grade 3-8,78.6,77.9,71.8,78.6
Catawba County Schools,Mountain View Elementary,Science Grade 5&8,83.1,95,83,79.6
Catawba County Schools,Oxford Elementary,Reading Grade 3-8,55.8,52.8,38.3,41.9
Catawba County Schools,Oxford Elementary,Math Grade 3-8,56.3,52.1,44.9,50
Catawba County Schools,Oxford Elementary,Science Grade 5&8,65.3,80,68.7,63
Catawba County Schools,River Bend Middle,Reading Grade 3-8,58.7,56.3,45.3,42.6
Catawba County Schools,River Bend Middle,Math Grade 3-8,49.8,52.8,45.8,39
Catawba County Schools,River Bend Middle,Science Grade 5&8,78.6,79.1,80.4,65.7
Catawba County Schools,Sherrills Ford Elementary,Reading Grade 3-8,75.9,73.6,66.8,64.8
Catawba County Schools,Sherrills Ford Elementary,Math Grade 3-8,73.3,75.8,79.4,78.1
Catawba County Schools,Sherrills Ford Elementary,Science Grade 5&8,92.3,85.9,77.9,79.8
Catawba County Schools,Saint Stephens Elementary,Reading Grade 3-8,50,47.9,29.3,28.9
Catawba County Schools,Saint Stephens Elementary,Math Grade 3-8,52.5,56.9,35.8,32.9
Catawba County Schools,Saint Stephens Elementary,Science Grade 5&8,60.7,69.1,51.8,39
Catawba County Schools,Saint Stephens High,Biology,52.5,57.8,54.5,58.1
Catawba County Schools,Saint Stephens High,English II,61.4,64.5,51.2,54.7
Catawba County Schools,Snow Creek Elementary,Reading Grade 3-8,64.6,63.4,58,59.4
Catawba County Schools,Snow Creek Elementary,Math Grade 3-8,66.1,70.1,67.4,66.7
Catawba County Schools,Snow Creek Elementary,Science Grade 5&8,79.8,92.4,75,76.1
Catawba County Schools,Startown Elementary,Reading Grade 3-8,65.6,63,50.3,52.8
Catawba County Schools,Startown Elementary,Math Grade 3-8,73.2,71,56.9,61.8
Catawba County Schools,Startown Elementary,Science Grade 5&8,81,85.1,75.3,65.4
Catawba County Schools,Webb A Murray Elementary,Reading Grade 3-8,57.4,48.1,33.3,41.8
Catawba County Schools,Webb A Murray Elementary,Math Grade 3-8,61.2,52.3,43.7,47.6
Catawba County Schools,Webb A Murray Elementary,Science Grade 5&8,86,75.4,50.8,51
Hickory City Schools,Northview Middle,Reading Grade 3-8,63.7,61.1,55.4,54.8
Hickory City Schools,Northview Middle,Math Grade 3-8,50.1,56.4,50.6,49.8
Hickory City Schools,Northview Middle,Science Grade 5&8,78.1,80.2,77.4,68.6
Hickory City Schools,Grandview Middle,Reading Grade 3-8,56.7,57,45.8,42
Hickory City Schools,Grandview Middle,Math Grade 3-8,47.5,50,41,44.8
Hickory City Schools,Grandview Middle,Science Grade 5&8,63.6,69.7,70.6,60.6
Hickory City Schools,Hickory Career Arts Magnet High School,Biology,38.2,53.8,62.2,59.6
Hickory City Schools,Hickory Career Arts Magnet High School,English II,56.7,62,82.6,73.9
Hickory City Schools,Hickory High,Biology,57.4,49,35.6,68.9
Hickory City Schools,Hickory High,English II,63.1,52.3,48.3,47.6
Hickory City Schools,W M Jenkins Elementary,Reading Grade 3-8,71.5,59.6,60,62.6
Hickory City Schools,W M Jenkins Elementary,Math Grade 3-8,68.2,57.3,69.6,77.2
Hickory City Schools,W M Jenkins Elementary,Science Grade 5&8,80,66.7,77.6,74.4
Hickory City Schools,Longview Elementary,Reading Grade 3-8,55.9,54.7,36.3,37.3
Hickory City Schools,Longview Elementary,Math Grade 3-8,70.5,70.9,55.7,50.3
Hickory City Schools,Longview Elementary,Science Grade 5&8,73.3,80.4,64.4,53.8
Hickory City Schools,Oakwood Elementary,Reading Grade 3-8,68.6,63.5,67.5,64.5
Hickory City Schools,Oakwood Elementary,Math Grade 3-8,75,66.5,68.2,66.9
Hickory City Schools,Oakwood Elementary,Science Grade 5&8,76.4,78,90.9,71.9
Hickory City Schools,Viewmont Elementary,Reading Grade 3-8,53.8,54.1,27.7,27.6
Hickory City Schools,Viewmont Elementary,Math Grade 3-8,58.6,59,38.2,33.3
Hickory City Schools,Viewmont Elementary,Science Grade 5&8,72.6,70.4,52.8,43
Newton Conover City Schools,Newton-Conover High,Biology,39.5,42.5,26.3,42.8
Newton Conover City Schools,Newton-Conover High,English II,45.4,52.6,38.7,46.2
Newton Conover City Schools,Newton-Conover Middle,Reading Grade 3-8,57.5,60.4,44.2,46.1
Newton Conover City Schools,Newton-Conover Middle,Math Grade 3-8,50.1,50.7,50.4,56.6
Newton Conover City Schools,Newton-Conover Middle,Science Grade 5&8,68.7,77.4,71,72.7
Newton Conover City Schools,Shuford Elementary,Reading Grade 3-8,68.6,72,62.7,55
Newton Conover City Schools,Shuford Elementary,Math Grade 3-8,82.9,80.1,71.6,65.5
Newton Conover City Schools,Shuford Elementary,Science Grade 5&8,88,92.3,82.9,76.1
Newton Conover City Schools,South Newton Elementary,Reading Grade 3-8,46.5,50.5,40.6,39.2
Newton Conover City Schools,South Newton Elementary,Math Grade 3-8,51.5,58.3,40.6,50
Newton Conover City Schools,South Newton Elementary,Science Grade 5&8,77.6,64.8,42.6,45.5
Newton Conover City Schools,North Newton Elementary,Reading Grade 3-8,49.8,45.1,46.4,47.1
Newton Conover City Schools,North Newton Elementary,Math Grade 3-8,54.7,40.7,58.5,71.4
Newton Conover City Schools,North Newton Elementary,Science Grade 5&8,58.8,71.6,62.5,65.7
Newton Conover City Schools,Discovery High School,Biology,97.5,92.6,85.1,83
Newton Conover City Schools,Discovery High School,English II,91.7,89.4,92.6,97.5
Chatham County Schools,Bennett School,Reading Grade 3-8,72,76.5,62.1,64.2
Chatham County Schools,Bennett School,Math Grade 3-8,69.9,67.4,50.3,71.7
Chatham County Schools,Bennett School,Science Grade 5&8,86.5,83,71.7,90.3
Chatham County Schools,Bonlee School,Reading Grade 3-8,60.4,59.2,42.3,50.3
Chatham County Schools,Bonlee School,Math Grade 3-8,57.9,64.7,44.8,51.3
Chatham County Schools,Bonlee School,Science Grade 5&8,71.2,82.4,51.6,59.3
Chatham County Schools,Chatham Middle,Reading Grade 3-8,48.1,46.3,39.2,40.4
Chatham County Schools,Chatham Middle,Math Grade 3-8,39.3,39.5,42.5,39.6
Chatham County Schools,Chatham Middle,Science Grade 5&8,51.9,61.9,60.5,66.5
Chatham County Schools,Chatham Central High,Biology,53.6,51.2,55,41.7
Chatham County Schools,Chatham Central High,English II,51.5,59.2,56.9,52.4
Chatham County Schools,Horton Middle,Reading Grade 3-8,65.4,65,53.2,60.3
Chatham County Schools,Horton Middle,Math Grade 3-8,50,60,53.8,59
Chatham County Schools,Horton Middle,Science Grade 5&8,72.6,70,70.3,63.7
Chatham County Schools,J S Waters School,Reading Grade 3-8,61.5,60,51.1,55.3
Chatham County Schools,J S Waters School,Math Grade 3-8,68.3,70.3,62,63.8
Chatham County Schools,J S Waters School,Science Grade 5&8,86.2,75.3,85,78.6
Chatham County Schools,Jordan Matthews High,Biology,34,42.5,33.5,33.5
Chatham County Schools,Jordan Matthews High,English II,43.9,54.7,42.1,35
Chatham County Schools,Margaret B. Pollard Middle,Reading Grade 3-8,74.7,73.5,69.4,69.9
Chatham County Schools,Margaret B. Pollard Middle,Math Grade 3-8,69.4,68.8,68.9,70.9
Chatham County Schools,Margaret B. Pollard Middle,Science Grade 5&8,84.8,83.8,85.6,81.5
Chatham County Schools,Moncure School,Reading Grade 3-8,63.6,62,55.7,57.5
Chatham County Schools,Moncure School,Math Grade 3-8,54.4,64.6,54.7,50.7
Chatham County Schools,Moncure School,Science Grade 5&8,83.6,71.8,70,68.5
Chatham County Schools,North Chatham Elementary,Reading Grade 3-8,63.1,66.9,62.1,62.3
Chatham County Schools,North Chatham Elementary,Math Grade 3-8,64.1,63.3,68.4,69.4
Chatham County Schools,North Chatham Elementary,Science Grade 5&8,87.8,80.5,86.5,75.3
Chatham County Schools,Northwood High,Biology,62.2,70.3,55.5,65.2
Chatham County Schools,Northwood High,English II,66.8,67.4,67.2,61
Chatham County Schools,Perry W Harrison Elementary,Reading Grade 3-8,78.8,77.8,73.5,75.9
Chatham County Schools,Perry W Harrison Elementary,Math Grade 3-8,79.3,76.6,75.5,77.6
Chatham County Schools,Perry W Harrison Elementary,Science Grade 5&8,78.9,87,82.9,83.3
Chatham County Schools,Pittsboro Elementary,Reading Grade 3-8,63.3,61.7,58.5,57.9
Chatham County Schools,Pittsboro Elementary,Math Grade 3-8,72.5,73.1,55.7,62.6
Chatham County Schools,Siler City Elementary,Reading Grade 3-8,50.3,55.7,39.9,42.8
Chatham County Schools,Siler City Elementary,Math Grade 3-8,68.8,65.6,54.3,44.4
Chatham County Schools,Siler City Elementary,Science Grade 5&8,71.2,78.7,66.7,59.1
Chatham County Schools,Silk Hope School,Reading Grade 3-8,64.4,64.9,55.1,51.3
Chatham County Schools,Silk Hope School,Math Grade 3-8,70.4,73.4,60.5,57.2
Chatham County Schools,Silk Hope School,Science Grade 5&8,74.4,77.9,64.5,81.5
Chatham County Schools,Virginia Cross Elementary,Reading Grade 3-8,42.2,44.6,30.2,29.9
Chatham County Schools,Virginia Cross Elementary,Math Grade 3-8,46.1,52.4,50.9,43.7
Chatham County Schools,Virginia Cross Elementary,Science Grade 5&8,59.3,76.7,68.5,64.2
Chatham County Schools,Chatham School of Science & Engineering,Biology,97.5,94.4,97.5,97.5
Chatham County Schools,Chatham School of Science & Engineering,English II,83.3,97.5,97.5,97.5
Cherokee County Schools,Andrews Elementary,Reading Grade 3-8,69.1,65.7,36,39.8
Cherokee County Schools,Andrews Elementary,Math Grade 3-8,78.7,67.2,33.7,30.7
Cherokee County Schools,Andrews High,Biology,60.3,46.9,42,60
Cherokee County Schools,Andrews High,English II,58.7,65.1,51,68.3
Cherokee County Schools,Andrews Middle,Reading Grade 3-8,63.2,64.9,49.5,51.3
Cherokee County Schools,Andrews Middle,Math Grade 3-8,63.2,60.8,54.9,62.8
Cherokee County Schools,Andrews Middle,Science Grade 5&8,88.6,89.4,84.2,89.8
Cherokee County Schools,Hiwassee Dam Elementary/Middle,Reading Grade 3-8,71.7,62.6,54,59.3
Cherokee County Schools,Hiwassee Dam Elementary/Middle,Math Grade 3-8,69.9,70.2,63.2,66.7
Cherokee County Schools,Hiwassee Dam Elementary/Middle,Science Grade 5&8,82.1,74.3,80.6,85.7
Cherokee County Schools,Hiwassee Dam High,Biology,56.5,51.1,59.5,32.6
Cherokee County Schools,Hiwassee Dam High,English II,80.8,76.5,57.5,62.5
Cherokee County Schools,Martins Creek Elementary/Mid,Reading Grade 3-8,69.4,64.5,53.1,63.2
Cherokee County Schools,Martins Creek Elementary/Mid,Math Grade 3-8,59.7,54.3,41.8,55.1
Cherokee County Schools,Martins Creek Elementary/Mid,Science Grade 5&8,82.4,85.7,93.8,83.7
Cherokee County Schools,Murphy Elementary,Reading Grade 3-8,62.1,61,48.8,51.5
Cherokee County Schools,Murphy Elementary,Math Grade 3-8,63,64.6,55.9,51.9
Cherokee County Schools,Murphy Elementary,Science Grade 5&8,78.6,79.6,63.5,74.7
Cherokee County Schools,Murphy High,Biology,63.6,47.1,53.3,55.5
Cherokee County Schools,Murphy High,English II,64,59.3,59.7,63.3
Cherokee County Schools,Murphy Middle,Reading Grade 3-8,66.5,62.4,56.5,51.4
Cherokee County Schools,Murphy Middle,Math Grade 3-8,52.6,66.1,48.1,54.3
Cherokee County Schools,Murphy Middle,Science Grade 5&8,97.5,93.2,85.8,78.6
Cherokee County Schools,Peachtree Elementary,Reading Grade 3-8,58.3,67.9,53.4,59.5
Cherokee County Schools,Peachtree Elementary,Math Grade 3-8,73.3,67.9,69,81.1
Cherokee County Schools,Peachtree Elementary,Science Grade 5&8,82.8,80,76.5,85
Cherokee County Schools,Ranger Elementary/Middle,Reading Grade 3-8,61.4,55.2,46.8,54.5
Cherokee County Schools,Ranger Elementary/Middle,Math Grade 3-8,52.9,54.4,50.3,54.5
Cherokee County Schools,Ranger Elementary/Middle,Science Grade 5&8,68.9,68.8,67.2,77.8
Cherokee County Schools,Tri-County Early College High,Biology,82.1,65.5,52.5,61.3
Cherokee County Schools,Tri-County Early College High,English II,92.1,86.7,81.6,97.5
Edenton-Chowan Schools,Chowan Middle,Reading Grade 3-8,55.2,53.9,43.8,39.7
Edenton-Chowan Schools,Chowan Middle,Math Grade 3-8,48.5,54.8,53,41
Edenton-Chowan Schools,Chowan Middle,Science Grade 5&8,73.7,72.3,74.3,53.1
Edenton-Chowan Schools,D F Walker Elementary,Reading Grade 3-8,56.2,55.4,40.7,38.4
Edenton-Chowan Schools,D F Walker Elementary,Math Grade 3-8,64.8,63.8,53.6,48.1
Edenton-Chowan Schools,D F Walker Elementary,Science Grade 5&8,77.6,78.9,64.7,47
Edenton-Chowan Schools,John A Holmes High,Biology,38.4,48.2,30.1,50.8
Edenton-Chowan Schools,John A Holmes High,English II,47.5,45.8,48.5,49.4
Clay County Schools,Hayesville Elementary,Reading Grade 3-8,56.4,58,54.1,62.2
Clay County Schools,Hayesville Elementary,Math Grade 3-8,59.3,71.3,64.6,66.8
Clay County Schools,Hayesville High,Biology,64.9,69.9,57.5,71
Clay County Schools,Hayesville High,English II,60.2,55.4,60.6,67.4
Clay County Schools,Hayesville Middle,Reading Grade 3-8,51.9,47.8,53.3,54.2
Clay County Schools,Hayesville Middle,Math Grade 3-8,46.1,59.1,55.7,48.7
Clay County Schools,Hayesville Middle,Science Grade 5&8,77.6,73.2,71.9,81.7
Cleveland County Schools,Bethware Elementary,Reading Grade 3-8,59.4,55.1,44.7,48.5
Cleveland County Schools,Bethware Elementary,Math Grade 3-8,72.2,73,60.9,65.5
Cleveland County Schools,Boiling Springs Elementary,Reading Grade 3-8,66,62.1,59.5,64.4
Cleveland County Schools,Boiling Springs Elementary,Math Grade 3-8,76.2,76.2,71.8,72.7
Cleveland County Schools,Boiling Springs Elementary,Science Grade 5&8,85.7,78.5,78.4,78.1
Cleveland County Schools,Burns High,Biology,44.4,62,56.4,53.5
Cleveland County Schools,Burns High,English II,46.5,49.3,60.9,56.1
Cleveland County Schools,Burns Middle,Reading Grade 3-8,60.2,65.3,48.7,51
Cleveland County Schools,Burns Middle,Math Grade 3-8,52.6,65.5,54.7,50.5
Cleveland County Schools,Burns Middle,Science Grade 5&8,81.4,86.9,75.9,73.9
Cleveland County Schools,Casar Elementary,Reading Grade 3-8,62.7,57.1,49.6,58.8
Cleveland County Schools,Casar Elementary,Math Grade 3-8,70.9,85,77.2,80.2
Cleveland County Schools,Casar Elementary,Science Grade 5&8,52.2,85.7,77.1,97.5
Cleveland County Schools,Cleveland ECHS,Biology,82.4,92.6,83.6,85.5
Cleveland County Schools,Cleveland ECHS,English II,86.5,90.7,83,85.7
Cleveland County Schools,Crest High,Biology,52.2,59.8,63.8,65.8
Cleveland County Schools,Crest High,English II,53.1,49.8,58.8,56.1
Cleveland County Schools,Crest Middle,Reading Grade 3-8,64.8,64.6,47.3,48.1
Cleveland County Schools,Crest Middle,Math Grade 3-8,63.6,69.5,55.1,51.2
Cleveland County Schools,Crest Middle,Science Grade 5&8,82.6,83.4,76.6,66.2
Cleveland County Schools,Turning Point Academy,Reading Grade 3-8,15.9,18.5,7,5.9
Cleveland County Schools,Turning Point Academy,Math Grade 3-8,6.8,9.4,2.5,10
Cleveland County Schools,Turning Point Academy,Science Grade 5&8,20,38.1,33.3,7.4
Cleveland County Schools,Turning Point Academy,Biology,2.5,9.5,9.1,15.8
Cleveland County Schools,Turning Point Academy,English II,2.5,2.5,20,18.2
Cleveland County Schools,East Elementary,Reading Grade 3-8,58.9,50,47.1,54.8
Cleveland County Schools,East Elementary,Math Grade 3-8,78.5,63.8,60.9,59.7
Cleveland County Schools,Fallston Elementary,Reading Grade 3-8,55.7,55.8,49.3,51.7
Cleveland County Schools,Fallston Elementary,Math Grade 3-8,65.7,63.8,57.9,62.6
Cleveland County Schools,Fallston Elementary,Science Grade 5&8,66.3,73.7,74.1,75.7
Cleveland County Schools,Grover Elementary,Reading Grade 3-8,61.7,67.5,50.4,58.9
Cleveland County Schools,Grover Elementary,Math Grade 3-8,69.5,70.2,61.3,66.9
Cleveland County Schools,James Love Elementary,Reading Grade 3-8,53.2,46.6,47.1,52.9
Cleveland County Schools,James Love Elementary,Math Grade 3-8,58.1,41.5,62,53.5
Cleveland County Schools,Jefferson Elementary,Reading Grade 3-8,51.3,52.1,53.2,47.2
Cleveland County Schools,Jefferson Elementary,Math Grade 3-8,66.5,66.4,66.7,58.8
Cleveland County Schools,Kings Mountain High,Biology,65.8,76.5,58.7,54.3
Cleveland County Schools,Kings Mountain High,English II,57,60.3,60.6,50.8
Cleveland County Schools,Kings Mountain Intermediate,Reading Grade 3-8,61.4,59.9,47.8,43
Cleveland County Schools,Kings Mountain Intermediate,Math Grade 3-8,71.1,66.1,64.7,60.9
Cleveland County Schools,Kings Mountain Intermediate,Science Grade 5&8,76.6,82.5,67.7,69.2
Cleveland County Schools,Kings Mountain Middle,Reading Grade 3-8,61.4,67.6,51.1,50.8
Cleveland County Schools,Kings Mountain Middle,Math Grade 3-8,57.3,67.6,55.6,57.2
Cleveland County Schools,Kings Mountain Middle,Science Grade 5&8,86.5,91.3,79.3,78.1
Cleveland County Schools,North Elementary,Reading Grade 3-8,60.7,45.8,50.9,47.8
Cleveland County Schools,North Elementary,Math Grade 3-8,67.9,58.3,50.9,55.7
Cleveland County Schools,North Shelby,Reading Grade 3-8,28.6,19.4,66.7,44.4
Cleveland County Schools,North Shelby,Math Grade 3-8,28.6,29,76.2,55.6
Cleveland County Schools,Shelby High,Biology,39.6,47.2,42.5,40.8
Cleveland County Schools,Shelby High,English II,44.7,45.9,45.5,45.4
Cleveland County Schools,Shelby Middle,Reading Grade 3-8,53.5,56.3,38.3,37.8
Cleveland County Schools,Shelby Middle,Math Grade 3-8,53.6,66.4,37.1,32.8
Cleveland County Schools,Shelby Middle,Science Grade 5&8,86.4,85,77.2,67.8
Cleveland County Schools,Springmore Elementary,Reading Grade 3-8,63.3,64.7,56.2,59.1
Cleveland County Schools,Springmore Elementary,Math Grade 3-8,72.7,76.5,72.1,70.4
Cleveland County Schools,Springmore Elementary,Science Grade 5&8,81.9,81.7,76.9,82.4
Cleveland County Schools,Township Three Elementary,Reading Grade 3-8,44.4,47,36.3,30.3
Cleveland County Schools,Township Three Elementary,Math Grade 3-8,49.4,53.7,50,41.2
Cleveland County Schools,Township Three Elementary,Science Grade 5&8,51.6,69.7,67.1,56
Cleveland County Schools,Union Elementary,Reading Grade 3-8,53.4,50.5,45.6,41.9
Cleveland County Schools,Union Elementary,Math Grade 3-8,52.9,55.1,57.8,51.5
Cleveland County Schools,Union Elementary,Science Grade 5&8,69.6,68.2,60,64.3
