"artist","song","first_app","first_year","last_app","last_year","weeks","highest_spot","lowest_spot","length_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","spotify_track_popularity"
"Fetty Wap Featuring Remy Boyz","679",2015-07-18,2015,2016-04-16,2016,40,4,40,196693,0.618,0.717,7,-5.738,1,0.318,0.00256,0,0.625,0.603,190.05,4,76
"Jonas Brothers","Only Human",2019-06-22,2019,2020-03-07,2020,36,18,100,183000,0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,94.01,4,86
"Kehlani Featuring Ty Dolla $ign","Nights Like This",2019-01-26,2019,2019-03-23,2019,9,67,95,201787,0.61,0.725,8,-5.131,1,0.15,0.367,0,0.154,0.291,146.163,4,82
"One Direction","Infinity",2015-10-10,2015,2015-10-17,2015,2,54,85,249480,0.537,0.705,4,-6.073,1,0.0337,0.0687,0,0.0842,0.32,131.965,4,66
"Future Featuring Drake","Where Ya At",2015-08-08,2015,2016-01-23,2016,25,28,89,208026,0.813,0.453,1,-6.941,1,0.338,0.0933,0,0.14,0.191,161.997,4,67
"Imagine Dragons","Bad Liar",2018-11-24,2018,2019-05-04,2019,9,56,85,260773,0.383,0.637,3,-6.993,1,0.0703,0.0722,0,0.368,0.0827,177.913,4,84
"BTS","Life Goes On",2020-12-05,2020,2020-12-19,2020,3,1,93,207481,0.566,0.716,1,-5.733,1,0.0424,0.00691,0,0.37,0.45,81.068,4,87
"Metro Boomin Featuring Offset & Drake","No Complaints",2017-07-15,2017,2017-10-07,2017,5,71,100,261733,0.914,0.507,2,-10.784,1,0.164,0.0855,0.0254,0.0797,0.199,123.956,4,64
"Rod Wave","Ribbon In The Sky",2020-04-18,2020,2020-04-18,2020,1,84,84,163160,0.412,0.738,0,-6.203,1,0.236,0.253,0,0.114,0.398,80.375,4,56
"Jason Derulo","Cheyenne",2015-08-15,2015,2015-09-26,2015,7,66,95,215107,0.554,0.768,6,-5.812,0,0.127,0.0126,0.00000713,0.122,0.324,99.679,4,56
"Doja Cat","Candy",2019-12-07,2019,2020-01-11,2020,6,86,96,190920,0.689,0.516,8,-5.857,1,0.0444,0.513,0,0.163,0.209,124.876,4,86
"Jonas Brothers","Like It's Christmas",2019-12-14,2019,2020-01-04,2020,4,44,72,200880,0.725,0.571,1,-6.007,1,0.102,0.0183,0,0.0519,0.61,146.035,4,84
"Lil Uzi Vert","You Better Move",2020-03-21,2020,2020-03-21,2020,1,36,36,196638,0.842,0.556,8,-6.793,1,0.442,0.159,0,0.204,0.306,118.836,4,61
